instances/tai01.txt;instances/tai02.txt;instances/tai03.txt;instances/tai04.txt;instances/tai05.txt;instances/tai06.txt;instances/tai07.txt;instances/tai08.txt;instances/tai09.txt;instances/tai10.txt;instances/tai11.txt;instances/tai12.txt;instances/tai13.txt;instances/tai14.txt;instances/tai15.txt;instances/tai16.txt;instances/tai17.txt;instances/tai18.txt;instances/tai19.txt;instances/tai20.txt;instances/tai21.txt;instances/tai31.txt;instances/tai41.txt;instances/tai51.txt
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3078;4021
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3071;4032
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3062;4016
1278;;;;;;;;;;1582;;;;;;;;;;2301;2724;3076;4029
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3085;4012
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3074;4047
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3111;4008
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3089;4029
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3095;4003
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3099;4020
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3082;4027
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3102;4031
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3073;4007
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3091;4022
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3094;4043
1278;;;;;;;;;;1582;;;;;;;;;;2305;2724;3096;4021
1278;;;;;;;;;;1582;;;;;;;;;;2305;2724;3101;3981
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3092;4024
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3096;4000
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3089;4022
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3083;4042
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3072;4017
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3091;4018
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3090;4018
1278;;;;;;;;;;1582;;;;;;;;;;2300;2729;3092;4035
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3108;4040
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3086;4022
1278;;;;;;;;;;1582;;;;;;;;;;2299;2724;3073;3992
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3096;4005
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3096;4024
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3106;4052
1278;;;;;;;;;;1582;;;;;;;;;;2305;2724;3085;4027
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3090;4036
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3111;4002
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3085;4038
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3073;4024
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3074;4034
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3074;4037
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3086;4026
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3049;4012
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3070;4033
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3105;4049
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3096;4036
1278;;;;;;;;;;1582;;;;;;;;;;2301;2724;3093;4010
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3091;4017
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3096;4060
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3068;4041
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3088;4042
1278;;;;;;;;;;1582;;;;;;;;;;2301;2724;3074;4037
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3091;4006
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3070;4034
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3088;4024
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3080;4035
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3073;3994
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3078;4024
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3074;4018
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3086;4037
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3082;4021
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3065;4028
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3082;4024
1278;;;;;;;;;;1582;;;;;;;;;;2302;2724;3070;4012
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3050;3976
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3037;3997
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3051;3982
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3049;3992
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3063;3979
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3038;4005
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3043;3996
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3060;4004
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3039;3987
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3052;3992
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3045;3973
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3039;3991
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3062;3992
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3042;3999
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3037;4001
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3057;3990
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3059;4004
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3063;3993
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3055;4002
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3054;3965
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3051;3998
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3043;4012
1278;;;;;;;;;;1582;;;;;;;;;;2305;2724;3045;4012
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3048;4002
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3044;4016
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3055;4003
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3045;3981
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3046;4002
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3071;4027
1278;;;;;;;;;;1582;;;;;;;;;;2303;2724;3080;4031
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3063;4038
1278;;;;;;;;;;1582;;;;;;;;;;2297;2724;3069;4012
1278;;;;;;;;;;1582;;;;;;;;;;2300;2724;3048;3998
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3053;4010
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3042;4012
1278;;;;;;;;;;1582;;;;;;;;;;2298;2724;3048;4005
